id	comm_id
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	5
10	7
11	9
12	10
13	0
14	11
15	12
16	13
17	14
18	15
19	2
20	16
21	17
22	18
23	0
24	19
25	4
26	15
27	20
28	21
29	22
30	13
31	23
32	20
33	24
34	21
35	25
36	15
37	26
38	1
39	27
40	28
41	28
42	6
43	29
44	5
45	30
46	31
47	25
48	32
49	28
50	16
51	8
52	33
53	34
54	35
55	20
56	33
57	9
58	24
59	15
60	4
61	26
62	12
63	3
64	36
65	34
66	37
67	32
68	38
69	14
70	32
71	34
72	39
73	35
74	39
75	32
76	40
77	41
78	10
79	2
80	33
81	4
82	42
83	43
84	19
85	41
86	23
87	44
88	28
89	42
90	45
91	46
92	16
93	15
94	29
95	37
96	24
97	17
98	24
99	27
100	35
101	8
102	13
103	40
104	21
105	4
106	8
107	0
108	19
109	28
110	29
111	23
112	2
113	34
114	19
115	47
116	0
117	39
118	31
119	48
120	4
121	2
122	49
123	21
124	24
125	18
126	8
127	2
128	14
129	4
130	50
131	17
132	29
133	17
134	51
135	35
136	44
137	4
138	45
139	47
140	50
141	31
142	10
143	12
144	30
145	32
146	28
147	45
148	2
149	5
150	42
151	52
152	53
153	4
154	41
155	34
156	51
157	5
158	29
159	31
160	44
161	22
162	54
163	32
164	49
165	4
166	41
167	27
168	54
169	55
170	33
171	40
172	4
173	0
174	4
175	23
176	7
177	29
178	54
179	52
180	42
181	27
182	33
183	9
184	18
185	23
186	41
187	5
188	2
189	39
190	17
191	35
192	56
193	53
194	2
195	31
196	12
197	3
198	9
199	45
200	2
201	57
202	17
203	14
204	35
205	38
206	58
207	30
208	7
209	55
210	54
211	21
212	52
213	25
214	22
215	57
216	59
217	17
218	54
219	41
220	58
221	5
222	57
223	30
224	41
225	6
226	31
227	34
228	49
229	51
230	14
231	60
232	30
233	0
234	33
235	42
236	54
237	46
238	4
239	24
240	59
241	10
242	11
243	61
244	46
245	43
246	21
247	24
248	58
249	34
250	1
251	10
252	55
253	34
254	22
255	59
256	1
257	52
258	6
259	51
260	45
261	43
262	40
263	61
264	50
265	13
266	1
267	41
268	41
269	1
270	34
271	7
272	29
273	0
274	62
275	41
276	59
277	35
278	60
279	50
280	37
281	11
282	2
283	18
284	62
285	63
286	34
287	40
288	6
289	15
290	33
291	26
292	0
293	59
294	8
295	13
296	29
297	26
298	41
299	10
300	0
301	58
302	36
303	26
304	62
305	26
306	9
307	47
308	20
309	56
310	31
311	3
312	35
313	12
314	30
315	57
316	39
317	30
318	30
319	27
320	20
321	57
322	8
323	45
324	52
325	27
326	4
327	41
328	1
329	18
330	64
331	58
332	8
333	64
334	39
335	40
336	45
337	44
338	59
339	2
340	33
341	15
342	60
343	15
344	19
345	16
346	2
347	39
348	56
349	32
350	13
351	61
352	6
353	58
354	65
355	15
356	17
357	8
358	65
359	37
360	45
361	51
362	52
363	27
364	15
365	16
366	37
367	8
368	30
369	33
370	57
371	41
372	25
373	21
374	2
375	19
376	28
377	19
378	58
379	19
380	0
381	29
382	12
383	12
384	21
385	55
386	16
387	19
388	47
389	59
390	10
391	2
392	50
393	45
394	50
395	50
396	22
397	5
398	21
399	38
400	40
401	22
402	46
403	64
404	35
405	65
406	27
407	60
408	45
409	24
410	34
411	12
412	47
413	23
414	47
415	15
416	14
417	17
418	51
419	14
420	2
421	37
422	18
423	47
424	44
425	15
426	53
427	59
428	24
429	59
430	15
431	24
432	57
433	29
434	22
435	59
436	18
437	63
438	9
439	16
440	4
441	4
442	21
443	45
444	29
445	30
446	40
447	27
448	18
449	58
450	0
451	29
452	65
453	50
454	28
455	24
456	46
457	38
458	49
459	55
460	17
461	31
462	60
463	31
464	28
465	38
466	4
467	12
468	19
469	42
470	0
471	33
472	41
473	17
474	10
475	22
476	59
477	5
478	6
479	9
480	28
481	40
482	24
483	58
484	28
485	5
486	65
487	55
488	40
489	29
490	55
491	22
492	60
493	59
494	12
495	28
496	52
497	31
498	15
499	46
500	15
501	47
502	65
503	18
504	0
505	8
506	4
507	56
508	44
509	59
510	14
511	28
512	39
513	3
514	44
515	58
516	27
517	36
518	58
519	57
520	22
521	49
522	18
523	17
524	44
525	22
526	15
527	48
528	48
529	45
530	38
531	26
532	2
533	46
534	52
535	0
536	0
537	48
538	35
539	49
540	27
541	23
542	29
543	64
544	63
545	63
546	63
547	34
548	12
549	24
550	34
551	10
552	29
553	6
554	48
555	52
556	11
557	40
558	50
559	33
560	60
561	60
562	46
563	63
564	59
565	13
566	64
567	48
568	35
569	65
570	24
571	30
572	16
573	19
574	63
575	12
576	12
577	48
578	11
579	15
580	40
581	22
582	15
583	36
584	41
585	39
586	44
587	39
588	31
589	27
590	40
591	62
592	29
593	37
594	1
595	16
596	59
597	22
598	48
599	19
600	53
601	62
602	41
603	52
604	47
605	8
606	54
607	21
608	57
609	17
610	11
611	31
612	57
613	40
614	12
615	56
616	56
617	64
618	21
619	44
620	16
621	56
622	54
623	64
624	8
625	35
626	58
627	60
628	48
629	49
630	45
631	47
632	11
633	48
634	21
635	32
636	24
637	49
638	0
639	17
640	32
641	39
642	56
643	12
644	19
645	12
646	37
647	25
648	30
649	59
650	46
651	57
652	50
653	41
654	26
655	23
656	49
657	19
658	57
659	14
660	47
661	2
662	5
663	2
664	29
665	12
666	22
667	44
668	61
669	3
670	34
671	3
672	47
673	25
674	10
675	27
676	29
677	57
678	20
679	35
680	3
681	46
682	17
683	55
684	24
685	33
686	43
687	32
688	32
689	33
690	24
691	64
692	4
693	41
694	31
695	25
696	58
697	50
698	62
699	63
700	48
701	51
702	61
703	33
704	60
705	10
706	13
707	53
708	14
709	10
710	11
711	38
712	17
713	29
714	24
715	1
716	27
717	32
718	20
719	52
720	15
721	5
722	16
723	39
724	55
725	58
726	49
727	27
728	47
729	33
730	47
731	51
732	46
733	28
734	46
735	16
736	1
737	43
738	2
739	5
740	55
741	48
742	22
743	38
744	29
745	56
746	43
747	19
748	41
749	29
750	5
751	49
752	13
753	32
754	54
755	19
756	63
757	56
758	12
759	11
760	49
761	25
762	18
763	38
764	23
765	15
766	29
767	64
768	46
769	21
770	28
771	48
772	3
773	49
774	1
775	33
776	2
777	47
778	56
779	47
780	22
781	57
782	57
783	15
784	42
785	34
786	16
787	56
788	39
789	28
790	47
791	28
792	17
793	33
794	33
795	0
796	51
797	28
798	52
799	29
800	12
801	0
802	49
803	16
804	32
805	0
806	22
807	27
808	35
809	27
810	51
811	24
812	29
813	63
814	49
815	61
816	41
817	28
818	49
819	26
820	21
821	10
822	61
823	36
824	27
825	56
826	65
827	55
828	55
829	30
830	24
831	0
832	12
833	46
834	24
835	52
836	22
837	24
838	47
839	37
840	2
841	17
842	59
843	26
844	25
845	0
846	1
847	23
848	13
849	4
850	38
851	16
852	27
853	65
854	41
855	30
856	22
857	61
858	7
859	13
860	28
861	39
862	61
863	43
864	24
865	39
866	57
867	53
868	31
869	61
870	14
871	26
872	7
873	20
874	58
875	12
876	55
877	36
878	55
879	27
880	58
881	57
882	59
883	27
884	25
885	39
886	45
887	61
888	42
889	0
890	22
891	6
892	15
893	23
894	63
895	34
896	56
897	57
898	10
899	57
900	14
901	61
902	17
903	55
904	59
905	0
906	60
907	50
908	42
909	29
910	22
911	50
912	59
913	15
914	16
915	44
916	21
917	45
918	9
919	35
920	15
921	34
922	7
923	10
924	7
925	3
926	34
927	53
928	11
929	6
930	35
931	58
932	40
933	58
934	5
935	37
936	60
937	41
938	21
939	35
940	7
941	45
942	57
943	42
944	64
945	62
946	30
947	7
948	41
949	23
950	51
951	41
952	25
953	55
954	11
955	39
956	22
957	35
958	45
959	31
960	7
961	23
962	3
963	4
964	45
965	12
966	33
967	25
968	24
969	43
970	6
971	5
972	36
973	27
974	23
975	4
976	46
977	54
978	3
979	35
980	56
981	5
982	6
983	51
984	54
985	28
986	57
987	25
988	0
989	45
990	22
991	4
992	1
993	18
994	36
995	29
996	3
997	8
998	33
999	52
1000	28
1001	20
1002	43
1003	4
1004	58
1005	14
1006	41
1007	0
1008	14
1009	2
1010	26
1011	37
1012	52
1013	21
1014	43
1015	48
1016	17
1017	59
1018	26
1019	9
1020	29
1021	57
1022	51
1023	49
1024	53
1025	34
1026	54
1027	63
1028	38
1029	57
1030	43
1031	19
1032	24
1033	3
1034	37
1035	36
1036	49
1037	63
1038	8
1039	2
1040	0
1041	20
1042	37
1043	1
1044	35
1045	54
1046	42
1047	22
1048	12
1049	44
1050	30
1051	41
1052	40
1053	58
1054	61
1055	37
1056	38
1057	7
1058	51
1059	17
1060	3
